variable_name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
male_white_nohisp_collplus,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,C15002H_006,
male_white_nohisp_collplus_a,,,,,,,,,,,,,,,,B15002H_008
male_white_nohisp_collplus_b,,,,,,,,,,,,,,,,B15002H_009
female_white_nohisp_lths,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,C15002H_008,
female_white_nohisp_lths_a,,,,,,,,,,,,,,,,B15002H_011
female_white_nohisp_lths_b,,,,,,,,,,,,,,,,B15002H_012
female_white_nohisp_hs,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,C15002H_009,B15002H_013
female_white_nohisp_somecoll,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,C15002H_010,
female_white_nohisp_somecoll_a,,,,,,,,,,,,,,,,B15002H_014
female_white_nohisp_somecoll_b,,,,,,,,,,,,,,,,B15002H_015
female_white_nohisp_collplus,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,C15002H_011,
female_white_nohisp_collplus_a,,,,,,,,,,,,,,,,B15002H_016
female_white_nohisp_collplus_b,,,,,,,,,,,,,,,,B15002H_017
male_hisp_lths,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,C15002I_003,
male_hisp_lths_a,,,,,,,,,,,,,,,,B15002I_003
male_hisp_lths_b,,,,,,,,,,,,,,,,B15002I_004
male_hisp_hs,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,C15002I_004,B15002I_005
male_hisp_somecoll,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,C15002I_005,
male_hisp_somecoll_a,,,,,,,,,,,,,,,,B15002I_006
male_hisp_somecoll_b,,,,,,,,,,,,,,,,B15002I_007
male_hisp_collplus,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,C15002I_006,
male_hisp_collplus_a,,,,,,,,,,,,,,,,B15002I_008
male_hisp_collplus_b,,,,,,,,,,,,,,,,B15002I_009
female_hisp_lths,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,C15002I_008,
female_hisp_lths_a,,,,,,,,,,,,,,,,B15002I_011
female_hisp_lths_b,,,,,,,,,,,,,,,,B15002I_012
female_hisp_hs,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,C15002I_009,B15002I_013
female_hisp_somecoll,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,C15002I_010,
female_hisp_somecoll_a,,,,,,,,,,,,,,,,B15002I_014
female_hisp_somecoll_b,,,,,,,,,,,,,,,,B15002I_015
female_hisp_collplus,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,C15002I_011,
female_hisp_collplus_a,,,,,,,,,,,,,,,,B15002I_016
female_hisp_collplus_b,,,,,,,,,,,,,,,,B15002I_017
est_nev_married_m,DP02_0026,DP02_0026,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0025,DP02_0018
est_married_m,DP02_0027,DP02_0027,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0026,DP02_0019
est_separated_m,DP02_0028,DP02_0028,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0027,DP02_0020
est_widowed_m,DP02_0029,DP02_0029,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0028,DP02_0021
est_divorced_m,DP02_0030,DP02_0030,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0029,DP02_0022
est_nev_married_f,DP02_0032,DP02_0032,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0031,DP02_0024
est_married_f,DP02_0033,DP02_0033,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0032,DP02_0025
est_separated_f,DP02_0034,DP02_0034,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0033,DP02_0026
est_widowed_f,DP02_0035,DP02_0035,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0034,DP02_0027
est_divorced_f,DP02_0036,DP02_0036,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0035,DP02_0028
est_15_50_births_12mo,DP02_0037,DP02_0037,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0036,DP02_0029
est_unmarried_15_50_births_12mo,DP02_0038,DP02_0038,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0037,DP02_0030
est_vet_status_civilian,DP02_0070,DP02_0070,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0069,DP02_0068,DP02_0068,DP02_0045
est_disability_civilian,DP02_0076,DP02_0076,DP02_0075,DP02_0075,DP02_0075,DP02_0075,DP02_0075,DP02_0075,DP02_0075,DP02_0075,DP02_0075,DP02_0075,DP02_0075,DP02_0074,DP02_0074,DP02_0051
est_not_labor,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007,DP03_0007
p_unemp,DP03_0009P,DP03_0009P,DP03_0009P,DP03_0009P,DP03_0009P,DP03_0009P,DP03_0009P,DP03_0009P,DP03_0009P,DP03_0009P,DP03_0009P,DP03_0009,DP03_0009,DP03_0009,DP03_0009,DP03_0009
est_ind_constr,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0034,DP03_0035,DP03_0035,DP03_0035,DP03_0034,DP03_0034
est_ind_manufact,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0035,DP03_0036,DP03_0036,DP03_0036,DP03_0035,DP03_0035
est_ind_transp,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0038,DP03_0039,DP03_0039,DP03_0039,DP03_0038,DP03_0038
total_pop,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001,B01001_001
male_age0_5,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003,B01001_003
male_age5_9,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004,B01001_004
male_age10_14,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005,B01001_005
male_age15_17,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006,B01001_006
male_age18_19,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007,B01001_007
male_age20,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008,B01001_008
male_age21,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009,B01001_009
male_age22_24,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010,B01001_010
male_age25_29,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011,B01001_011
male_age30_34,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012,B01001_012
male_age35_39,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013,B01001_013
male_age40_44,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014,B01001_014
male_age45_49,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015,B01001_015
male_age50_54,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016,B01001_016
male_age55_59,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017,B01001_017
male_age60_61,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018,B01001_018
male_age62_64,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019,B01001_019
male_age65_66,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020,B01001_020
male_age67_69,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021,B01001_021
male_age70_74,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022,B01001_022
male_age75_79,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023,B01001_023
male_age80_84,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024,B01001_024
male_age85p,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025,B01001_025
female_age0_5,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027,B01001_027
female_age5_9,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028,B01001_028
female_age10_14,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029,B01001_029
female_age15_17,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030,B01001_030
female_age18_19,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031,B01001_031
female_age20,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032,B01001_032
female_age21,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033,B01001_033
female_age22_24,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034,B01001_034
female_age25_29,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035,B01001_035
female_age30_34,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036,B01001_036
female_age35_39,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037,B01001_037
female_age40_44,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038,B01001_038
female_age45_49,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039,B01001_039
female_age50_54,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040,B01001_040
female_age55_59,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041,B01001_041
female_age60_61,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042,B01001_042
female_age62_64,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043,B01001_043
female_age65_66,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044,B01001_044
female_age67_69,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045,B01001_045
female_age70_74,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046,B01001_046
female_age75_79,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047,B01001_047
female_age80_84,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048,B01001_048
female_age85p,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049,B01001_049
av_hh_size,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,S1101_C01_002,,,,,
med_earn,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001,B20017_001
pov,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002,B06012_002
soc_security,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002,B19055_002
supp_security,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002,B09010_002
fam_marr_couple,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002,B09002_002
female_hh,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009,B11002_009
male_hh,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006,B11002_006
med_inc_fam_marr_couple,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002,B19126_002
med_inc_fam_female,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009,B19126_009
med_inc_fam_male,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006,B19126_006
p_labor_white,S2301_C02_012,S2301_C02_012,S2301_C02_012,S2301_C02_012,S2301_C02_012,S2301_C02_012,S2301_C02_010,S2301_C02_010,S2301_C02_010,S2301_C02_010,S2301_C02_010,,,,,
p_labor_black,S2301_C02_013,S2301_C02_013,S2301_C02_013,S2301_C02_013,S2301_C02_013,S2301_C02_013,S2301_C02_011,S2301_C02_011,S2301_C02_011,S2301_C02_011,S2301_C02_011,,,,,
p_labor_aian,S2301_C02_014,S2301_C02_014,S2301_C02_014,S2301_C02_014,S2301_C02_014,S2301_C02_014,S2301_C02_012,S2301_C02_012,S2301_C02_012,S2301_C02_012,S2301_C02_012,,,,,
p_labor_asian,S2301_C02_015,S2301_C02_015,S2301_C02_015,S2301_C02_015,S2301_C02_015,S2301_C02_015,S2301_C02_013,S2301_C02_013,S2301_C02_013,S2301_C02_013,S2301_C02_013,,,,,
p_labor_nhopi,S2301_C02_016,S2301_C02_016,S2301_C02_016,S2301_C02_016,S2301_C02_016,S2301_C02_016,S2301_C02_014,S2301_C02_014,S2301_C02_014,S2301_C02_014,S2301_C02_014,,,,,
p_labor_other,S2301_C02_017,S2301_C02_017,S2301_C02_017,S2301_C02_017,S2301_C02_017,S2301_C02_017,S2301_C02_015,S2301_C02_015,S2301_C02_015,S2301_C02_015,S2301_C02_015,,,,,
p_labor_multi,S2301_C02_018,S2301_C02_018,S2301_C02_018,S2301_C02_018,S2301_C02_018,S2301_C02_018,S2301_C02_016,S2301_C02_016,S2301_C02_016,S2301_C02_016,S2301_C02_016,,,,,
p_labor_hisp,S2301_C02_019,S2301_C02_019,S2301_C02_019,S2301_C02_019,S2301_C02_019,S2301_C02_019,S2301_C02_017,S2301_C02_017,S2301_C02_017,S2301_C02_017,S2301_C02_017,,,,,
p_labor_white_nohisp,S2301_C02_020,S2301_C02_020,S2301_C02_020,S2301_C02_020,S2301_C02_020,S2301_C02_020,S2301_C02_018,S2301_C02_018,S2301_C02_018,S2301_C02_018,S2301_C02_018,,,,,
p_labor_20_64,S2301_C02_021,S2301_C02_021,S2301_C02_021,S2301_C02_021,S2301_C02_021,S2301_C02_021,S2301_C02_019,S2301_C02_019,S2301_C02_019,S2301_C02_019,S2301_C02_019,,,,,
p_unemp_white,S2301_C04_012,S2301_C04_012,S2301_C04_012,S2301_C04_012,S2301_C04_012,S2301_C04_012,S2301_C04_010,S2301_C04_010,S2301_C04_010,S2301_C04_010,S2301_C04_010,,,,,
p_unemp_black,S2301_C04_013,S2301_C04_013,S2301_C04_013,S2301_C04_013,S2301_C04_013,S2301_C04_013,S2301_C04_011,S2301_C04_011,S2301_C04_011,S2301_C04_011,S2301_C04_011,,,,,
p_unemp_aian,S2301_C04_014,S2301_C04_014,S2301_C04_014,S2301_C04_014,S2301_C04_014,S2301_C04_014,S2301_C04_012,S2301_C04_012,S2301_C04_012,S2301_C04_012,S2301_C04_012,,,,,
p_unemp_asian,S2301_C04_015,S2301_C04_015,S2301_C04_015,S2301_C04_015,S2301_C04_015,S2301_C04_015,S2301_C04_013,S2301_C04_013,S2301_C04_013,S2301_C04_013,S2301_C04_013,,,,,
p_unemp_nhopi,S2301_C04_016,S2301_C04_016,S2301_C04_016,S2301_C04_016,S2301_C04_016,S2301_C04_016,S2301_C04_014,S2301_C04_014,S2301_C04_014,S2301_C04_014,S2301_C04_014,,,,,
p_unemp_other,S2301_C04_017,S2301_C04_017,S2301_C04_017,S2301_C04_017,S2301_C04_017,S2301_C04_017,S2301_C04_015,S2301_C04_015,S2301_C04_015,S2301_C04_015,S2301_C04_015,,,,,
p_unemp_multi,S2301_C04_018,S2301_C04_018,S2301_C04_018,S2301_C04_018,S2301_C04_018,S2301_C04_018,S2301_C04_016,S2301_C04_016,S2301_C04_016,S2301_C04_016,S2301_C04_016,,,,,
p_unemp_hisp,S2301_C04_019,S2301_C04_019,S2301_C04_019,S2301_C04_019,S2301_C04_019,S2301_C04_019,S2301_C04_017,S2301_C04_017,S2301_C04_017,S2301_C04_017,S2301_C04_017,,,,,
p_unemp_white_nohisp,S2301_C04_020,S2301_C04_020,S2301_C04_020,S2301_C04_020,S2301_C04_020,S2301_C04_020,S2301_C04_018,S2301_C04_018,S2301_C04_018,S2301_C04_018,S2301_C04_018,,,,,